Year:year,Member State:text,Greenhouse gas (GHG) emission intensity:number,Indicative level-high:number,Indicative level-low:number
2021,Slovakia,114,,
2022,Slovakia,95,,
1990,Lithuania,182,,
1991,Lithuania,185,,
1992,Lithuania,110,,
1993,Lithuania,86,,
1994,Lithuania,97,,
1995,Lithuania,55,,
1996,Lithuania,90,,
1997,Lithuania,75,,
1998,Lithuania,103,,
1999,Lithuania,109,,
2000,Lithuania,93,,
2001,Lithuania,80,,
2002,Lithuania,66,,
2003,Lithuania,60,,
2004,Lithuania,63,,
2005,Lithuania,97,,
2006,Lithuania,96,,
2007,Lithuania,80,,
2008,Lithuania,75,,
2009,Lithuania,77,,
2010,Lithuania,295,,
2011,Lithuania,228,,
2012,Lithuania,240,,
2013,Lithuania,174,,
2014,Lithuania,169,,
2015,Lithuania,176,,
2016,Lithuania,135,,
2017,Lithuania,79,,
2018,Lithuania,51,,
2019,Lithuania,68,,
2020,Lithuania,158,,
2021,Lithuania,138,,
2022,Lithuania,110,,
1990,Denmark,686,,
1991,Denmark,707,,
1992,Denmark,677,,
1993,Denmark,643,,
1994,Denmark,643,,
1995,Denmark,618,,
1996,Denmark,637,,
1997,Denmark,586,,
1998,Denmark,549,,
1999,Denmark,517,,
2000,Denmark,487,,
2001,Denmark,480,,
2002,Denmark,472,,
2003,Denmark,497,,
2004,Denmark,430,,
2005,Denmark,396,,
2006,Denmark,481,,
2007,Denmark,448,,
2008,Denmark,420,,
2009,Denmark,420,,
2010,Denmark,373,,
2011,Denmark,336,,
2012,Denmark,285,,
2013,Denmark,317,,
2014,Denmark,277,,
2015,Denmark,198,,
2016,Denmark,230,,
2017,Denmark,175,,
2018,Denmark,187,,
2019,Denmark,114,,
2020,Denmark,112,,
2021,Denmark,123,,
2022,Denmark,117,,
1990,Belgium,353,,
1991,Belgium,356,,
1992,Belgium,343,,
1993,Belgium,350,,
1994,Belgium,359,,
1995,Belgium,347,,
1996,Belgium,320,,
1997,Belgium,291,,
1998,Belgium,312,,
1999,Belgium,259,,
2000,Belgium,267,,
2001,Belgium,251,,
2002,Belgium,259,,
2003,Belgium,260,,
2004,Belgium,261,,
2005,Belgium,257,,
2006,Belgium,246,,
2007,Belgium,235,,
2008,Belgium,229,,
2009,Belgium,211,,
2010,Belgium,209,,
2011,Belgium,185,,
2012,Belgium,198,,
2013,Belgium,183,,
2014,Belgium,165,,
2015,Belgium,219,,
2016,Belgium,161,,
2017,Belgium,169,,
2018,Belgium,197,,
2019,Belgium,170,,
2020,Belgium,166,,
2021,Belgium,138,,
2022,Belgium,154,,
1990,Croatia,332,,
1991,Croatia,199,,
1992,Croatia,315,,
1993,Croatia,331,,
1994,Croatia,222,,
1995,Croatia,247,,
1996,Croatia,180,,
1997,Croatia,280,,
1998,Croatia,314,,
1999,Croatia,286,,
2000,Croatia,282,,
2001,Croatia,296,,
2002,Croatia,353,,
2003,Croatia,384,,
2004,Croatia,279,,
2005,Croatia,293,,
2006,Croatia,304,,
2007,Croatia,389,,
2008,Croatia,337,,
2009,Croatia,263,,
2010,Croatia,209,,
2011,Croatia,295,,
2012,Croatia,280,,
2013,Croatia,197,,
2014,Croatia,171,,
2015,Croatia,202,,
2016,Croatia,204,,
2017,Croatia,188,,
2018,Croatia,130,,
2019,Croatia,163,,
2020,Croatia,155,,
2021,Croatia,135,,
2022,Croatia,170,,
1990,Portugal,519,,
1991,Portugal,526,,
1992,Portugal,621,,
1993,Portugal,544,,
1994,Portugal,506,,
1995,Portugal,573,,
1996,Portugal,436,,
1997,Portugal,466,,
1998,Portugal,474,,
1999,Portugal,576,,
2000,Portugal,483,,
2001,Portugal,461,,
2002,Portugal,539,,
2003,Portugal,439,,
2004,Portugal,483,,
2005,Portugal,535,,
2006,Portugal,450,,
2007,Portugal,421,,
2008,Portugal,416,,
2009,Portugal,392,,
2010,Portugal,280,,
2011,Portugal,332,,
2012,Portugal,397,,
2013,Portugal,317,,
2014,Portugal,299,,
2015,Portugal,363,,
2016,Portugal,296,,
2017,Portugal,362,,
2018,Portugal,309,,
2019,Portugal,255,,
2020,Portugal,203,,
2021,Portugal,173,,
2022,Portugal,171,,
1990,Spain,449,,
1991,Spain,444,,
1992,Spain,485,,
1993,Spain,457,,
1994,Spain,450,,
1995,Spain,496,,
1996,Spain,388,,
1997,Spain,427,,
1998,Spain,425,,
1999,Spain,500,,
2000,Spain,467,,
2001,Spain,416,,
2002,Spain,468,,
2003,Spain,412,,
2004,Spain,418,,
2005,Spain,432,,
2006,Spain,398,,
2007,Spain,410,,
2008,Spain,347,,
2009,Spain,317,,
2010,Spain,257,,
2011,Spain,319,,
2012,Spain,333,,
2013,Spain,270,,
2014,Spain,280,,
2015,Spain,318,,
2016,Spain,266,,
2017,Spain,305,,
2018,Spain,276,,
2019,Spain,214,,
2020,Spain,168,,
2021,Spain,165,,
2022,Spain,178,,
1990,Hungary,479,,
1991,Hungary,481,,
1992,Hungary,500,,
1993,Hungary,491,,
1994,Hungary,470,,
1995,Hungary,476,,
1996,Hungary,474,,
1997,Hungary,471,,
1998,Hungary,482,,
1999,Hungary,467,,
2000,Hungary,446,,
2001,Hungary,444,,
2002,Hungary,433,,
2003,Hungary,479,,
2004,Hungary,438,,
2005,Hungary,362,,
2006,Hungary,365,,
2007,Hungary,363,,
2008,Hungary,352,,
2009,Hungary,310,,
2010,Hungary,306,,
2011,Hungary,314,,
2012,Hungary,319,,
2013,Hungary,287,,
2014,Hungary,262,,
2015,Hungary,261,,
2016,Hungary,252,,
2017,Hungary,264,,
2018,Hungary,249,,
2019,Hungary,226,,
2020,Hungary,214,,
2021,Hungary,187,,
2022,Hungary,181,,
1990,Slovenia,477,,
1991,Slovenia,367,,
1992,Slovenia,441,,
1993,Slovenia,435,,
1994,Slovenia,392,,
1995,Slovenia,398,,
1996,Slovenia,360,,
1997,Slovenia,378,,
1998,Slovenia,391,,
1999,Slovenia,344,,
2000,Slovenia,354,,
2001,Slovenia,377,,
2002,Slovenia,388,,
2003,Slovenia,385,,
2004,Slovenia,363,,
2005,Slovenia,362,,
2006,Slovenia,368,,
2007,Slovenia,392,,
2008,Slovenia,343,,
2009,Slovenia,329,,
2010,Slovenia,334,,
2011,Slovenia,343,,
2012,Slovenia,331,,
2013,Slovenia,307,,
2014,Slovenia,218,,
2015,Slovenia,256,,
2016,Slovenia,253,,
2017,Slovenia,255,,
2018,Slovenia,246,,
2019,Slovenia,238,,
2020,Slovenia,220,,
2021,Slovenia,215,,
2022,Slovenia,202,,
1990,Romania,762,,
1991,Romania,797,,
1992,Romania,591,,
1993,Romania,671,,
1994,Romania,660,,
1995,Romania,587,,
1996,Romania,594,,
1997,Romania,465,,
1998,Romania,409,,
1999,Romania,403,,
2000,Romania,460,,
2001,Romania,458,,
2002,Romania,450,,
2003,Romania,518,,
2004,Romania,447,,
2005,Romania,393,,
2006,Romania,423,,
2007,Romania,491,,
2008,Romania,510,,
2009,Romania,403,,
2010,Romania,372,,
2011,Romania,455,,
2012,Romania,460,,
2013,Romania,365,,
2014,Romania,327,,
2015,Romania,346,,
2016,Romania,315,,
2017,Romania,332,,
2018,Romania,319,,
2019,Romania,293,,
2020,Romania,254,,
2021,Romania,241,,
2022,Romania,250,,
1990,Italy,562,,
1991,Italy,536,,
1992,Italy,524,,
1993,Italy,517,,
1994,Italy,511,,
1995,Italy,540,,
1996,Italy,520,,
1997,Italy,511,,
1998,Italy,511,,
1999,Italy,494,,
2000,Italy,396,,
2001,Italy,384,,
2002,Italy,406,,
2003,Italy,443,,
2004,Italy,416,,
2005,Italy,398,,
2006,Italy,389,,
2007,Italy,381,,
2008,Italy,372,,
2009,Italy,354,,
2010,Italy,338,,
2011,Italy,327,,
2012,Italy,312,,
2013,Italy,272,,
2014,Italy,257,,
2015,Italy,283,,
2016,Italy,262,,
2017,Italy,264,,
2018,Italy,249,,
2019,Italy,233,,
2020,Italy,216,,
2021,Italy,235,,
2022,Italy,297,,
1990,Ireland,768,,
1991,Ireland,767,,
1992,Ireland,767,,
1993,Ireland,751,,
1994,Ireland,740,,
1995,Ireland,747,,
1996,Ireland,734,,
1997,Ireland,738,,
1998,Ireland,715,,
1999,Ireland,719,,
2000,Ireland,674,,
2001,Ireland,694,,
2002,Ireland,650,,
2003,Ireland,618,,
2004,Ireland,594,,
2005,Ireland,601,,
2006,Ireland,552,,
2007,Ireland,517,,
2008,Ireland,494,,
2009,Ireland,474,,
2010,Ireland,484,,
2011,Ireland,455,,
2012,Ireland,487,,
2013,Ireland,460,,
2014,Ireland,450,,
2015,Ireland,436,,
2016,Ireland,428,,
2017,Ireland,398,,
2018,Ireland,352,,
2019,Ireland,315,,
2020,Ireland,281,,
2021,Ireland,332,,
2022,Ireland,305,,
1990,Netherlands,601,,
1991,Netherlands,577,,
1992,Netherlands,576,,
1993,Netherlands,570,,
1994,Netherlands,576,,
1995,Netherlands,565,,
1996,Netherlands,538,,
1997,Netherlands,535,,
1998,Netherlands,505,,
1999,Netherlands,500,,
2000,Netherlands,492,,
2001,Netherlands,510,,
2002,Netherlands,510,,
2003,Netherlands,508,,
2004,Netherlands,498,,
2005,Netherlands,485,,
2006,Netherlands,481,,
2007,Netherlands,485,,
2008,Netherlands,479,,
2009,Netherlands,446,,
2010,Netherlands,442,,
2011,Netherlands,429,,
2012,Netherlands,447,,
2013,Netherlands,461,,
2014,Netherlands,494,,
2015,Netherlands,512,,
2016,Netherlands,483,,
2017,Netherlands,453,,
2018,Netherlands,435,,
2019,Netherlands,384,,
2020,Netherlands,328,,
2021,Netherlands,338,,
2022,Netherlands,310,,
1990,Malta,1604,,
1991,Malta,1131,,
1992,Malta,1035,,
1993,Malta,1406,,
1994,Malta,1178,,
1995,Malta,978,,
1996,Malta,996,,
1997,Malta,959,,
1998,Malta,954,,
1999,Malta,925,,
2000,Malta,838,,
2001,Malta,1004,,
2002,Malta,957,,
2003,Malta,969,,
2004,Malta,935,,
2005,Malta,883,,
2006,Malta,881,,
2007,Malta,886,,
2008,Malta,876,,
2009,Malta,878,,
2010,Malta,891,,
2011,Malta,889,,
2012,Malta,897,,
2013,Malta,753,,
2014,Malta,738,,
2015,Malta,679,,
2016,Malta,675,,
2017,Malta,439,,
2018,Malta,356,,
2019,Malta,359,,
2020,Malta,378,,
2021,Malta,349,,
2022,Malta,348,,
1990,Germany,652,,
1991,Germany,656,,
1992,Germany,629,,
1993,Germany,620,,
1994,Germany,616,,
1995,Germany,594,,
1996,Germany,580,,
1997,Germany,566,,
1998,Germany,569,,
1999,Germany,550,,
2000,Germany,551,,
2001,Germany,566,,
2002,Germany,557,,
2003,Germany,543,,
2004,Germany,527,,
2005,Germany,508,,
2006,Germany,502,,
2007,Germany,517,,
2008,Germany,489,,
2009,Germany,486,,
2010,Germany,470,,
2011,Germany,488,,
2012,Germany,493,,
2013,Germany,486,,
2014,Germany,476,,
2015,Germany,446,,
2016,Germany,443,,
2017,Germany,414,,
2018,Germany,407,,
2019,Germany,346,,
2020,Germany,312,,
2021,Germany,342,,
2022,Germany,368,,
1990,Greece,1188,,
1991,Greece,1131,,
1992,Greece,1152,,
1993,Greece,1118,,
1994,Greece,1100,,
1995,Greece,1041,,
1996,Greece,991,,
1997,Greece,1046,,
1998,Greece,1034,,
1999,Greece,978,,
2000,Greece,974,,
2001,Greece,983,,
2002,Greece,955,,
2003,Greece,914,,
2004,Greece,920,,
2005,Greece,915,,
2006,Greece,853,,
2007,Greece,879,,
2008,Greece,869,,
2009,Greece,854,,
2010,Greece,875,,
2011,Greece,883,,
2012,Greece,869,,
2013,Greece,807,,
2014,Greece,845,,
2015,Greece,739,,
2016,Greece,621,,
2017,Greece,657,,
2018,Greece,654,,
2019,Greece,606,,
2020,Greece,453,,
2021,Greece,397,,
2022,Greece,394,,
1990,Czechia,764,,
1991,Czechia,760,,
1992,Czechia,757,,
1993,Czechia,742,,
1994,Czechia,757,,
1995,Czechia,768,,
1996,Czechia,774,,
1997,Czechia,722,,
1998,Czechia,718,,
1999,Czechia,663,,
2000,Czechia,678,,
2001,Czechia,678,,
2002,Czechia,663,,
2003,Czechia,595,,
2004,Czechia,580,,
2005,Czechia,606,,
2006,Czechia,604,,
2007,Czechia,607,,
2008,Czechia,595,,
2009,Czechia,567,,
2010,Czechia,552,,
2011,Czechia,546,,
2012,Czechia,507,,
2013,Czechia,475,,
2014,Czechia,477,,
2015,Czechia,492,,
2016,Czechia,499,,
2017,Czechia,472,,
2018,Czechia,462,,
2019,Czechia,429,,
2020,Czechia,389,,
2021,Czechia,394,,
2022,Czechia,407,,
1990,Bulgaria,561,,
1991,Bulgaria,541,,
1992,Bulgaria,630,,
1993,Bulgaria,696,,
1994,Bulgaria,607,,
1995,Bulgaria,569,,
1996,Bulgaria,541,,
1997,Bulgaria,551,,
1998,Bulgaria,565,,
1999,Bulgaria,516,,
2000,Bulgaria,485,,
2001,Bulgaria,532,,
2002,Bulgaria,491,,
2003,Bulgaria,541,,
2004,Bulgaria,543,,
2005,Bulgaria,497,,
2006,Bulgaria,485,,
2007,Bulgaria,608,,
2008,Bulgaria,572,,
2009,Bulgaria,532,,
2010,Bulgaria,533,,
2011,Bulgaria,586,,
2012,Bulgaria,528,,
2013,Bulgaria,484,,
2014,Bulgaria,478,,
2015,Bulgaria,487,,
2016,Bulgaria,466,,
2017,Bulgaria,498,,
2018,Bulgaria,426,,
2019,Bulgaria,427,,
2020,Bulgaria,354,,
2021,Bulgaria,398,,
2022,Bulgaria,455,,
1990,Cyprus,852,,
1991,Cyprus,839,,
1992,Cyprus,839,,
1993,Cyprus,839,,
1994,Cyprus,844,,
1995,Cyprus,834,,
1996,Cyprus,845,,
1997,Cyprus,854,,
1998,Cyprus,855,,
1999,Cyprus,869,,
2000,Cyprus,848,,
2001,Cyprus,786,,
2002,Cyprus,766,,
2003,Cyprus,773,,
2004,Cyprus,781,,
2005,Cyprus,800,,
2006,Cyprus,792,,
2007,Cyprus,795,,
2008,Cyprus,793,,
2009,Cyprus,776,,
2010,Cyprus,735,,
2011,Cyprus,759,,
2012,Cyprus,757,,
2013,Cyprus,666,,
2014,Cyprus,682,,
2015,Cyprus,670,,
2016,Cyprus,679,,
2017,Cyprus,661,,
2018,Cyprus,664,,
2019,Cyprus,642,,
2020,Cyprus,623,,
2021,Cyprus,605,,
2022,Cyprus,591,,
1990,Poland,1293,,
1991,Poland,1268,,
1992,Poland,1298,,
1993,Poland,1160,,
1994,Poland,1154,,
1995,Poland,1003,,
1996,Poland,986,,
1997,Poland,961,,
1998,Poland,937,,
1999,Poland,924,,
2000,Poland,916,,
2001,Poland,905,,
2002,Poland,900,,
2003,Poland,906,,
2004,Poland,903,,
2005,Poland,888,,
2006,Poland,902,,
2007,Poland,891,,
2008,Poland,877,,
2009,Poland,856,,
2010,Poland,848,,
2011,Poland,850,,
2012,Poland,828,,
2013,Poland,827,,
2014,Poland,814,,
2015,Poland,790,,
2016,Poland,772,,
2017,Poland,761,,
2018,Poland,769,,
2019,Poland,730,,
2020,Poland,695,,
2021,Poland,708,,
2022,Poland,681,,
1990,Estonia,1006,,
1991,Estonia,977,,
1992,Estonia,999,,
1993,Estonia,1005,,
1994,Estonia,1153,,
1995,Estonia,1196,,
1996,Estonia,1214,,
1997,Estonia,1177,,
1998,Estonia,1141,,
1999,Estonia,1135,,
2000,Estonia,1074,,
2001,Estonia,1033,,
2002,Estonia,1015,,
2003,Estonia,1019,,
2004,Estonia,1005,,
2005,Estonia,1002,,
2006,Estonia,955,,
2007,Estonia,1015,,
2008,Estonia,988,,
2009,Estonia,956,,
2010,Estonia,956,,
2011,Estonia,965,,
2012,Estonia,907,,
2013,Estonia,953,,
2014,Estonia,959,,
2015,Estonia,949,,
2016,Estonia,912,,
2017,Estonia,904,,
2018,Estonia,883,,
2019,Estonia,729,,
2020,Estonia,604,,
2021,Estonia,655,,
2022,Estonia,693,,
